"id","name","price","description","url_images","link","rating","sold","created_at","updated_at"
"1","Bubble Wrap Golden Bull Lebar 125cm Panjang 50m - 1 Roll","78250.00","Bubble wrap adalah lapisan plastik polietilen (PE) yang diisi udara sehingga membentuk gelembung-gelembung. Setiap gelembung berfungsi sebagai bantalan elastis yang mampu menyerap energi ketika terjadi benturan, sehingga barang tetap aman.
Fungsi Utama Bubble Wrap
Perlindungan dari Benturan Gelembung udara menyerap guncangan saat barang terjatuh atau tertindih.
Mengurangi Risiko Goresan Cocok untuk barang yang mudah lecet seperti gadget, monitor, kaca, jam tangan, dan lainnya.
Isolasi Ringan Karena mengandung udara, bubble wrap juga memberikan sedikit isolasi panas/dingin.
Pengaman Saat Packing Barang Pecah Belah Sering digunakan untuk melapisi keramik, kaca, aquarium kecil, dan peralatan rumah tangga lainnya.
Kelebihan Bubble Wrap
Ringan sehingga tidak menambah biaya ongkir
Fleksibel dan mudah dibentuk sesuai ukuran barang
Harga relatif murah
Memberikan perlindungan sangat baik","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/370d48d7c1214adbb68c54a589e410bf~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764216973&x-signature=x%2FVJcmTpKSOn9lbkeu%2Bkkoufc%2Bs%3D&x-signature-webp=EQFJhcQQhbuimN2c9YLXPI93weo%3D","https://www.tokopedia.com/netafarm/bubble-wrap-golden-bull-lebar-125cm-panjang-50m-1-roll-1733292133959567055?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:15","2025-11-27 01:16:15"
"2","Drain Gully Trapesium Hidroponik NFT Penutup Saluran Air - 1 pcs","8000.00","Drain, tutup samping gully Hidroponik sistem NFT
Untuk pelengkapan gully lain bisa cek link dibawah ini :
1. Drain Gully
https://www.tokopedia.com/netafarm/drain-gully-trapesium-hidroponik-penutup-samping-gully-1-pcs
2. Joiner Gully / sambungan Gully
https://www.tokopedia.com/netafarm/sambungan-gully-trapesium-hidroponik-joiner-instalasi-nft-1-pcs
3. end cup gully / penutup gully
https://www.tokopedia.com/netafarm/tutup-gully-hidroponik-end-cup-gully-1-pcs
Link untuk Tambahan Packing
Buble warp :
https://www.tokopedia.com/netafarm/packing-tambahan-bubble-wrap-meteran
dan Kardus :
https://www.tokopedia.com/netafarm/packing-tambahan-kardus-karton","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2020/10/3/a339e492-96e8-4d04-8f6d-9c5f134e92ea.jpg~tplv-aphluv4xwc-resize-jpeg:700:0.jpeg?lk3s=0ccea506&x-expires=1764216977&x-signature=VNrhyllOE3z4vLPG0aeVFCtvQgM%3D&x-signature-webp=uPEnM3gvWHrt2vOkziW%2FNuFOnCg%3D","https://www.tokopedia.com/netafarm/drain-gully-trapesium-hidroponik-nft-penutup-saluran-air-1-pcs-1733280590750254799?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:18","2025-11-27 01:16:18"
"3","HERBISIDA PILAR UP 480 SL PEMBASMI ANEKA GULMA - 1 LITER","65500.00","Spektrum Sasaran & Pengendalian
Pilar Up 480 SL dirancang untuk mengendalikan:
- Gulma berdaun lebar (contoh: Borreria alata, Mikania micrantha, Chromolaena odorata) 
- Gulma berdaun sempit / rumput (contoh: Ottochloa nodosa, Imperata cylindrica) 
- Alang-alang dan gulma di lahan tanpa tanaman (lahan kosong) dan di tanaman kelapa sawit TBM / TM (Tahap Bibit Muda / Tahap Muda dan Produksi)
Waktu & kondisi aplikasi penting:
Aplikasi dilakukan ketika gulma sedang aktif tumbuh. 
Penyemprotan harus dilakukan pada pagi hari atau waktu cuaca stabil, dan cuaca diharapkan tidak turun hujan dalam 4–6 jam setelah penyemprotan agar bahan aktif dapat bekerja maksimal. 
Kelebihan Produk
Beberapa keunggulan Pilar Up 480 SL:
- Efektif menyasar gulma sampai ke akar karena sifat sistemiknya. 
- Spektrum cukup luas: baik gulma berdaun lebar maupun rumput/gulma berdaun sempit. 
- Produk tersedia dalam berbagai kemasan (1 L, 4 L, 20 L dsb) sesuai kebutuhan skala usaha. 
- Bila digunakan sesuai dosis & kondisi, mampu memperlambat pertumbuhan kembali gulma dan mengurangi frekuensi penyemprotan ulang","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e0457db756124b8db41261620541accf~tplv-aphluv4xwc-resize-jpeg:700:0.jpeg?lk3s=0ccea506&x-expires=1764216980&x-signature=vsAGAjgGjPdS0RSSgJtD91qsFiU%3D&x-signature-webp=j%2BQbwplBlv0bTBtVvdVZRqIjttQ%3D","https://www.tokopedia.com/netafarm/herbisida-pilar-up-480-sl-pembasmi-aneka-gulma-1-liter-1733036094174561999?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","5","1","2025-11-27 01:16:21","2025-11-27 01:16:21"
"4","HERBISIDA PRIMAXONE PLUS 280 SL PEMBASMI ANEKA GULMA - 20 LITER","965000.00","Bahan Aktif : parakuat diklorida 300 g/l (setara dengan ion parakuat: 217 g/l)
Golongan : HRAC D
Nomor Pendaftaran : RI. 01030120124501
Herbisida kontak purna tumbuh berbentuk larutan dalam air untuk mengendalikan gulma berdaun lebar dan gulma golongan rumput pada persiapan budidaya jagung (TOT).","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f4fbc2bba3fc41f2899c8e2e405f6d60~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764216983&x-signature=RkRImLZDOtTD3%2FyCINXOlx3ZVYk%3D&x-signature-webp=IBhVwSdCOs4OLhFQl%2BO1003gMSQ%3D","https://www.tokopedia.com/netafarm/herbisida-primaxone-plus-280-sl-pembasmi-aneka-gulma-20-liter-1733035970233992911?extParam=whid%3D2158709%26src%3Dshop&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:25","2025-11-27 01:16:25"
"5","Benih Biji Bibit Adas Pedas (DILL) Mix Garden Seed - 1pcs","16500.00","Adas Pedas (Dill) atau dikenal dengan nama ilmiah Anethum graveolens adalah tanaman
herba aromatik yang berasal dari kawasan Mediterania dan Asia Barat Daya. Tanaman ini
sering digunakan sebagai bumbu dan obat herbal.
Ciri khas:
● Batang ramping dan berwarna hijau muda
● Daun halus menyerupai jarum lembut, mirip daun adas biasa
● Menghasilkan bunga kecil berwarna kuning dalam bentuk payung (umbel)
● Memiliki aroma khas yang kuat dan rasa sedikit pedas serta segar
Syarat tumbuh:
● Tumbuh baik di daerah beriklim sejuk hingga hangat
● Membutuhkan sinar matahari penuh
● Tanah gembur, subur, dan memiliki drainase baik
● pH tanah ideal: 6,0–7,5
Perawatan:
● Siram secara teratur namun jangan berlebihan
● Dapat dipanen daunnya saat tanaman berumur 6–8 minggu
● Untuk bijinya, panen ketika buah mulai mengering di batang
️ Kegunaan:
● Daun dan bijinya digunakan untuk membumbui ikan, acar, sup, dan salad
● Mengandung minyak atsiri yang bermanfaat untuk pencernaan dan sebagai obat
herbal alami
Keunikan:
Tanaman adas pedas dill tidak hanya berguna sebagai bumbu dapur, tetapi juga
memberikan aroma harum yang khas dan bisa menjadi tanaman hias herbal di kebun
rumah.","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0a9dd27eadfe4878a7366cd7dcbde1a2~tplv-aphluv4xwc-resize-jpeg:700:0.jpeg?lk3s=0ccea506&x-expires=1764216987&x-signature=XneVgIaiWnNSM6%2F%2Bd8cVM0OL9NA%3D&x-signature-webp=lAlWqY2MewPRv2xq57J40p%2BBhj4%3D","https://www.tokopedia.com/netafarm/benih-biji-bibit-adas-pedas-dill-mix-garden-seed-1pcs-1733034634596943567?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","2","2025-11-27 01:16:28","2025-11-27 01:16:28"
"6","Planter Bag 30 Liter Hijau Kantong Pot Tanaman EASY GROW - 1 Pcs","13500.00","Fitur & SpesifikasiBeberapa rincian dari produk ini:
Material utama: polyethilene murni atau HDPE + UV stabilizer.
Tersedia berbagai ukuran kapasitas dengan diameter dan tinggi yang berbeda.
Warna: tersedia hijau dan hitam.
Memiliki lubang drainase atau didesain agar sirkulasi udara dan air lebih baik.
Tahan terhadap sinar matahari dan perubahan suhu (karena adanya UV stabilizer dan material yang disebut tahan “hingga 5 tahun” atau lebih) dalam pemakaian.
KeunggulanBeberapa keunggulan yang disebut dalam deskripsi produk:
Karena bahan yang disebut “dapat ditembus cahaya matahari”, diklaim bahwa perakaran tanaman menjadi lebih kuat dan sehat.
Mudah dipindahkan, hemat tempat, dan lebih praktis dibanding menggunakan drum bekas atau pot besar tradisional.
Lebih ekonomis karena bisa dipakai berulang-ulang dan tahan lama.
Tersedia dalam banyak ukuran, sehingga bisa disesuaikan dengan kebutuhan tanaman (sayur, buah, tanaman hias).","https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/a2b1c1a347794d73b3287cfce6b37160~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764216990&x-signature=2qLEVcA%2FEP5X4kyWnMDxA39hWNA%3D&x-signature-webp=Jtg91wcSF9zu7OimsXgMMkb1SvM%3D","https://www.tokopedia.com/netafarm/planter-bag-30-liter-hijau-kantong-pot-tanaman-easy-grow-1-pcs-1733035500819678927?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:31","2025-11-27 01:16:31"
"7","HERBISIDA PRIMAXONE PLUS 280 SL PEMBASMI ANEKA GULMA - 1 LITER","52750.00","Bahan Aktif : parakuat diklorida 300 g/l (setara dengan ion parakuat: 217 g/l)
Golongan : HRAC D
Nomor Pendaftaran : RI. 01030120124501
Herbisida kontak purna tumbuh berbentuk larutan dalam air untuk mengendalikan gulma berdaun lebar dan gulma golongan rumput pada persiapan budidaya jagung (TOT).","https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/96359f0094c84f2cb70b89f491786dcb~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764216993&x-signature=KyzoWRUSuwXnD8TosQlKjEAypF8%3D&x-signature-webp=x3GDVuAwX1dUcMzPtrF5mF6n71c%3D","https://www.tokopedia.com/netafarm/herbisida-primaxone-plus-280-sl-pembasmi-aneka-gulma-1-liter-1733035823877818063?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:34","2025-11-27 01:16:34"
"8","Benih Biji Bibit Tomat Cerry Yellow Pear Mix Garden Seed - 1pcs","0.00","Tomat Cherry Yellow Pear adalah varietas tomat ceri yang unik karena bentuknya
menyerupai buah pir kecil dan berwarna kuning cerah saat matang. Berikut penjelasan
singkatnya:
Nama varietas: Yellow Pear Cherry Tomato
Ciri khas:
● Buah kecil berbentuk pir, panjang sekitar 2–4 cm
● Warna kuning cerah, menarik untuk salad atau hiasan makanan
● Rasa manis, segar, dan sedikit asam
Syarat tumbuh:
● Tumbuh optimal di daerah beriklim hangat dan mendapat sinar matahari penuh (6–8
jam per hari)
● Tanah subur, gembur, dan memiliki drainase baik
● pH tanah ideal: 6,0–6,8
Perawatan:
● Penyiraman teratur tapi tidak berlebihan
● Pemangkasan tunas liar (suckers) untuk pertumbuhan optimal
● Pemberian pupuk organik atau kompos secara berkala
Panen:
● Dapat dipanen setelah 70–80 hari dari penanaman bibit
● Buah matang ditandai dengan warna kuning cerah dan tekstur agak lembut
Tomat ini populer di kalangan petani rumahan dan hobiis karena produktivitas tinggi,
tampilan menarik, dan rasa manisnya yang disukai anak-anak.","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e98d74eee21f4a1bab277a32d333c9cf~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217004&x-signature=QtDTZUrV%2BqlSx5dJBHep7sVJLRA%3D&x-signature-webp=qloqt7hSw%2FI1B0b1LXG3XqcDKtM%3D","https://www.tokopedia.com/netafarm/benih-biji-bibit-tomat-cerry-yellow-pear-mix-garden-seed-1pcs-1733035926712059599?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:38","2025-11-27 01:16:46"
"9","Planter Bag 75 Liter Hijau Kantong Pot Tanaman EASY GROW - 1 Pcs","23500.00","Fitur & SpesifikasiBeberapa rincian dari produk ini:
Material utama: polyethilene murni atau HDPE + UV stabilizer.
Tersedia berbagai ukuran kapasitas dengan diameter dan tinggi yang berbeda.
Warna: tersedia hijau dan hitam.
Memiliki lubang drainase atau didesain agar sirkulasi udara dan air lebih baik.
Tahan terhadap sinar matahari dan perubahan suhu (karena adanya UV stabilizer dan material yang disebut tahan “hingga 5 tahun” atau lebih) dalam pemakaian.
KeunggulanBeberapa keunggulan yang disebut dalam deskripsi produk:
Karena bahan yang disebut “dapat ditembus cahaya matahari”, diklaim bahwa perakaran tanaman menjadi lebih kuat dan sehat.
Mudah dipindahkan, hemat tempat, dan lebih praktis dibanding menggunakan drum bekas atau pot besar tradisional.
Lebih ekonomis karena bisa dipakai berulang-ulang dan tahan lama.
Tersedia dalam banyak ukuran, sehingga bisa disesuaikan dengan kebutuhan tanaman (sayur, buah, tanaman hias).","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/7171102bc70e4165a050506b8e22c061~tplv-aphluv4xwc-resize-jpeg:700:0.jpeg?lk3s=0ccea506&x-expires=1764217000&x-signature=MMysNJfbm6Y%2FWvgW9y3P%2FwaISeM%3D&x-signature-webp=Zr%2B%2BNPxR575buyj%2FMgQhQ4%2F99A0%3D","https://www.tokopedia.com/netafarm/planter-bag-75-liter-hijau-kantong-pot-tanaman-easy-grow-1-pcs-1733035672338466511?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:41","2025-11-27 01:16:41"
"10","Planter Bag 5 Liter Hijau Kantong Pot Tanaman EASY GROW - 1 Pcs","7000.00","Fitur & SpesifikasiBeberapa rincian dari produk ini:
Material utama: polyethilene murni atau HDPE + UV stabilizer.
Tersedia berbagai ukuran kapasitas dengan diameter dan tinggi yang berbeda.
Warna: tersedia hijau dan hitam.
Memiliki lubang drainase atau didesain agar sirkulasi udara dan air lebih baik.
Tahan terhadap sinar matahari dan perubahan suhu (karena adanya UV stabilizer dan material yang disebut tahan “hingga 5 tahun” atau lebih) dalam pemakaian.
KeunggulanBeberapa keunggulan yang disebut dalam deskripsi produk:
Karena bahan yang disebut “dapat ditembus cahaya matahari”, diklaim bahwa perakaran tanaman menjadi lebih kuat dan sehat.
Mudah dipindahkan, hemat tempat, dan lebih praktis dibanding menggunakan drum bekas atau pot besar tradisional.
Lebih ekonomis karena bisa dipakai berulang-ulang dan tahan lama.
Tersedia dalam banyak ukuran, sehingga bisa disesuaikan dengan kebutuhan tanaman (sayur, buah, tanaman hias).","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/0486e1fcd9bf4745841b2ba53f829bb8~tplv-aphluv4xwc-resize-jpeg:700:0.jpeg?lk3s=0ccea506&x-expires=1764217008&x-signature=S2wX5vo1ZHAfN3VdrEiEoeWss6s%3D&x-signature-webp=VHyV7QhbnWvGxckkzVOSx6EMKIw%3D","https://www.tokopedia.com/netafarm/planter-bag-5-liter-hijau-kantong-pot-tanaman-easy-grow-1-pcs-1733035373388924623?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=","0","0","2025-11-27 01:16:49","2025-11-27 01:16:49"
