"id","id_user","chat","bot_response","session_key","created_at","updated_at"
"1","2","Carikan produk pupuk penjualan terbanyak","Maaf, produk tidak ditemukan.","2025-11-27","2025-11-27 01:28:39","2025-11-27 01:28:39"
"2","2","produk pupuk","Berikut produk yang tersedia:<br><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/e98d74eee21f4a1bab277a32d333c9cf~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217004&x-signature=QtDTZUrV%2BqlSx5dJBHep7sVJLRA%3D&x-signature-webp=qloqt7hSw%2FI1B0b1LXG3XqcDKtM%3D' alt='Benih Biji Bibit Tomat Cerry Yellow Pear Mix Garden Seed - 1pcs' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/benih-biji-bibit-tomat-cerry-yellow-pear-mix-garden-seed-1pcs-1733035926712059599?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Benih Biji Bibit Tomat Cerry Yellow Pear Mix Garden Seed - 1pcs</a><br>Tomat Cherry Yellow Pear adalah varietas tomat ceri yang unik karena bentuknya
menyerupai buah pir kecil dan berwarna kuning cerah saat matang. Berikut penjelasan
singkatnya:
Nama varietas: Yellow Pear Cherry Tomato
Ciri khas:
● Buah kecil berbentuk pir, panjang sekitar 2–4 cm
● Warna kuning cerah, menarik untuk salad atau hiasan makanan
● Rasa manis, segar, dan sedikit asam
Syarat tumbuh:
● Tumbuh optimal di daerah beriklim hangat dan mendapat sinar matahari penuh (6–8
jam per hari)
● Tanah subur, gembur, dan memiliki drainase baik
● pH tanah ideal: 6,0–6,8
Perawatan:
● Penyiraman teratur tapi tidak berlebihan
● Pemangkasan tunas liar (suckers) untuk pertumbuhan optimal
● Pemberian pupuk organik atau kompos secara berkala
Panen:
● Dapat dipanen setelah 70–80 hari dari penanaman bibit
● Buah matang ditandai dengan warna kuning cerah dan tekstur agak lembut
Tomat ini populer di kalangan petani rumahan dan hobiis karena produktivitas tinggi,
tampilan menarik, dan rasa manisnya yang disukai anak-anak.<br>Rating: ⭐ 0<br>Terjual: 0<br>Rp 0</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/86e51c3d607d4782b238a168798902c3~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217045&x-signature=LwtdpMIdf%2Fz8uPpUFAzD1rQE7Bg%3D&x-signature-webp=sgPohuYVerbwgz2idBbm3jtCaWc%3D' alt='Benih Biji Bibit Kacang Panjang ""JOTAA"" Urban Farmers Seed - 1pcs' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/benih-biji-bibit-kacang-panjang-jotaa-urban-farmers-seed-1pcs-1733032490663708367?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Benih Biji Bibit Kacang Panjang ""JOTAA"" Urban Farmers Seed - 1pcs</a><br>Kacang Panjang Jotaa adalah varietas kacang panjang yang dikenal karena pertumbuhan
cepat, panjang batang tinggi, dan produktivitas buah tinggi. Tanaman ini populer di
kebun rumah dan pertanian skala kecil.
Ciri khas:
● Batang ramping, merambat, bisa mencapai 2–3 meter
● Buah panjang, lurus, berwarna hijau segar, renyah saat muda
● Rasa manis ringan dan tekstur renyah
Syarat tumbuh:
● Tumbuh baik di daerah iklim tropis atau subtropis
● Membutuhkan sinar matahari penuh minimal 6 jam per hari
● Tanah subur, gembur, kaya bahan organik, dan drainase baik
● pH tanah ideal: 6,0–7,5
Perawatan:
● Siram secara rutin, terutama pada musim kemarau
● Sediakan ajir atau rambatan untuk merambat
● Beri pupuk organik atau NPK secara berkala untuk hasil optimal
● Panen buah muda secara rutin untuk merangsang produksi terus-menerus
️ Kegunaan:
● Dikonsumsi direbus, ditumis, atau sebagai lalapan
● Kaya akan serat, vitamin A, C, dan mineral
Keunikan:
Kacang Panjang Jotaa cepat berbuah dan produktif, cocok untuk kebun rumah atau
pertanian skala kecil, serta mudah dirawat.<br>Rating: ⭐ 0<br>Terjual: 0<br>Rp 16.500</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6ee1369df5324c498434d8ff187413f8~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217104&x-signature=sdUU970WFN%2BAz1U40%2B%2B01chAdmQ%3D&x-signature-webp=ZOFQKNzgMhs3h8keWlVSXQDAI7g%3D' alt='PUPUK MEROKE VITAFLEX REPACK - 500gr' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/pupuk-meroke-vitaflex-repack-500gr-1732946231115089615?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>PUPUK MEROKE VITAFLEX REPACK - 500gr</a><br>Meroke VITAFLEX adalah pupuk mikro majemuk dengan spesifikasi: Fe (DPTA) 7,50%, Mn (EDTA) 1,50%, Zn (EDTA) 1,65%, Cu (EDTA) 1,60%, Boron (B) 1,00%, Molybdenum (Mo) 0,25%. Fungsi boron dalam pembentukan bunga, germinasi serbuk sari, dan pembentukan buah.
Fungsi Utama
Boron (B): Membantu pembentukan bunga, germinasi, dan pembentukan buah.
Timbal (Cu): Dukung fotosintesis, pembentukan bunga dan biji, serta sintesis lignin.
Besi (Fe): Membantu produksi klorofil dan fotosintesis.
Mangan (Mn): Sintesis karbohidrat, produksi klorofil, dan sintesis lignin.
Molibdenum (Mo): Pemanfaatan nitrogen.
Zink (Zn): Membantu perkembangan akar dan pertumbuhan tanaman.
Keuntungan
Hara mikro lengkap dengan formulasi khusus, bahan-bahan baku terbaik berbentuk kelat DTPA & EDTA.
100% larut sempurna dalam air, cocok untuk nutrisi hidroponik.
Dipakai di sistem pertanian tradisional hingga hidroponik.<br>Rating: ⭐ 0<br>Terjual: 1<br>Rp 122.500</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6e30d62be0ad45248a304f898ff82743~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217117&x-signature=MRQHPUPUDBXwXRHOkNShL9K%2B9M8%3D&x-signature-webp=mkfyjziWtv5Jo1%2FzO%2BW9v%2Bn9zoI%3D' alt='Nutrisi Tanaman & Tanah Asam Humat Humic Acid HUMIGROW - 500g' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/nutrisi-tanaman-tanah-asam-humat-humic-acid-humigrow-500g-1732800456838514383?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Nutrisi Tanaman & Tanah Asam Humat Humic Acid HUMIGROW - 500g</a><br>Apa itu Asam Humat / Humic Acid & Hubungannya dengan Humigrow
Asam humat (humic acid) merupakan bagian dari kelompok senyawa humus (humic substances) yang terbentuk dari pelapukan bahan organik (resta tumbuhan/makhluk hidup) melalui proses humifikasi. 
Komponen utama humic substances meliputi:
Asam humat — larut dalam larutan basa (alkali), tetapi tidak larut pada pH sangat asam
Asam fulvat — larut dalam semua kondisi pH
Humin — fraksi yang tidak larut dalam air pada semua pH
Kandungan dan sifat kimia dari asam humat dapat bervariasi tergantung pada sumbernya (misalnya leonardit, gambut, kompos tua) dan proses ekstraksi. 
Produk Humigrow tampaknya adalah salah satu merk atau produk yang berbasis asam humat sebagai bahan inti atau salah satu komponen aktifnya. Misalnya, di salah satu toko pertanian disebut: “Humigrow merupakan pupuk organik berbasis asam humat yang difungsikan untuk memperbaiki kesuburan tanah melalui perbaikan sifat fisik, kimia dan biologi tanah.” 
Dalam deskripsi produk di marketplace, Humigrow dijual dalam bentuk bubuk (500 gram) sebagai “asam humat / pupuk organik pembenah tanah”. 
Jadi, “Humigrow” kemungkinan adalah produk asam humat / humat larut air, mungkin dalam bentuk bubuk atau cair, yang ditambahkan zat-penunjang (fulvat, vitamin, asam amino)<br>Rating: ⭐ 0<br>Terjual: 2<br>Rp 41.500</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/b2da360d4843405fb328f0d7ab0bd24c~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217143&x-signature=pUGgM5cZLWT8chayDrmTktfk%2BVo%3D&x-signature-webp=keRZHDn6xE8L1GP6lZDQDFrD8bQ%3D' alt='M-21 Decomposer Pembenah Tanah Penyubur Tanah Pembuat Kompos POC - 1 Liter' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/m-21-decomposer-pembenah-tanah-penyubur-tanah-pembuat-kompos-poc-1-liter-1732729793825638095?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>M-21 Decomposer Pembenah Tanah Penyubur Tanah Pembuat Kompos POC - 1 Liter</a><br>M-21 Decomposer adalah produk hayati (bio-decomposer) cair berbasis mikroorganisme pengurai (mikrobakteri dan jamur penguntai) yang dirancang untuk mempercepat penguraian bahan organik, memperbaiki sifat tanah, membantu pembuatan pupuk organik/pupuk cair (termasuk dari urine/limbah), serta mengurangi bau dan memperbaiki kualitas kompos/fermentasi.
Manfaat utama
Mempercepat pembuatan kompos / pupuk kandang waktu fermentasi lebih pendek dan kualitas kompos lebih baik.
Membenahi kesuburan tanah memperbaiki sifat kimia, fisika, dan biologi tanah (struktur tanah, aktivitas mikroba, ketersediaan hara).
Mendukung pembuatan pupuk cair dari urine/limbah mempercepat dan meningkatkan kualitas pupuk cair serta mengurangi bau.
Mengurangi bau limbah ternak / kotoran lewat fermentasi biologis.
Aplikasi pada lahan dapat membantu kondisi pra-tanam (meningkatkan kesiapan lahan) dan mendukung pertumbuhan tanaman.<br>Rating: ⭐ 5<br>Terjual: 15<br>Rp 59.500</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6b6e7013585d4dfabc7dd1f732cf9bf2~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217146&x-signature=WG5Ira%2BBj%2FvR4Q7qAyoW5my8a3Y%3D&x-signature-webp=8QfKZMy3Cy5UQnTXnvjijIVXyzU%3D' alt='Biotogrow GOLD Pupuk Cair Pupuk Hayati Pupuk Daun Pupuk Probiotik - 500 ml' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/biotogrow-gold-pupuk-cair-pupuk-hayati-pupuk-daun-pupuk-probiotik-500-ml-1732664765864969935?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Biotogrow GOLD Pupuk Cair Pupuk Hayati Pupuk Daun Pupuk Probiotik - 500 ml</a><br>Apa Itu Biotogrow?
Biotogrow adalah pupuk hayati atau bio-fertilizer berbentuk cairan. Berbeda dengan pupuk kimia pada umumnya,
Biotogrow mengandung mikroorganisme hidup yang sangat bermanfaat bagi tanaman.
Mikroorganisme ini bekerja sebagai aktivator yang membantu tanaman tumbuh subur dan sehat secara alami.
Bagaimana Cara Kerja Zat Aktifnya?
Kandungan utama Biotogrow adalah bakteri-bakteri baik, seperti Bacillus sp. dan Azotobacter sp.
Cara kerjanya sederhana dan efektif:
1. Mengikat Nitrogen:
Bakteri Azotobacter sp. dapat mengambil nitrogen bebas dari udara (yang tidak bisa diserap tanaman) dan mengubahnya menjadi bentuk yang mudah diserap oleh akar tanaman.
Ini membuat tanaman mendapatkan nutrisi penting tanpa perlu pupuk kimia nitrogen berlebihan.
2. Melarutkan Nutrisi:
Bakteri Bacillus sp. berfungsi melarutkan fosfor dan kalium yang sering kali terikat di dalam tanah.
Bakteri ini membuat unsur-unsur hara tersebut menjadi lebih mudah diserap oleh tanaman.
3. Membuat Hormon Pertumbuhan:
Mikroorganisme di dalam Biotogrow juga menghasilkan zat alami atau hormon yang merangsang pertumbuhan akar, batang, dan buah.
Ini membuat tanaman lebih cepat besar dan produktif.
4. Melindungi Tanaman:
Beberapa bakteri baik ini mampu melawan bakteri atau jamur jahat yang dapat menyebabkan penyakit pada tanaman.
Manfaat Menggunakan Biotogrow
Dengan menggunakan Biotogrow, Anda akan mendapatkan beberapa keuntungan, antara lain:
- Hasil Panen Meningkat:
Tanaman menyerap nutrisi lebih maksimal sehingga hasil panennya menjadi lebih baik.
- Tanah Lebih Subur:
Produk ini memperbaiki struktur dan kesuburan tanah secara alami dalam jangka panjang.
- Mengurangi Penggunaan Pupuk Kimia:
Karena nutrisi sudah tersedia, Anda bisa mengurangi pemakaian pupuk kimia yang mahal dan kurang ramah lingkungan.
- Tanaman Lebih Tahan Penyakit:
Tanaman menjadi lebih kuat dan tahan terhadap serangan hama dan penyakit.
Singkatnya, Biotogrow ini seperti vitamin alami untuk tanaman Anda.
Dia bekerja langsung di tanah dan akar untuk memastikan tanaman tumbuh optimal dan sehat dari dalam.<br>Rating: ⭐ 0<br>Terjual: 1<br>Rp 75.000</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/586a6eb908404d57ae9703b5b5995fdc~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217150&x-signature=K00ct3BUE1u88ROvuyJ3UAQG9zY%3D&x-signature-webp=xwi64%2Fc%2Bb%2Bx8jQS2ugUFBnFjQZI%3D' alt='Biotogrow GOLD Pupuk Cair Pupuk Hayati Pupuk Daun Pupuk Probiotik - 250 ml' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/biotogrow-gold-pupuk-cair-pupuk-hayati-pupuk-daun-pupuk-probiotik-250-ml-1732664742222857935?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Biotogrow GOLD Pupuk Cair Pupuk Hayati Pupuk Daun Pupuk Probiotik - 250 ml</a><br>Apa Itu Biotogrow?
Biotogrow adalah pupuk hayati atau bio-fertilizer berbentuk cairan. Berbeda dengan pupuk kimia pada umumnya,
Biotogrow mengandung mikroorganisme hidup yang sangat bermanfaat bagi tanaman.
Mikroorganisme ini bekerja sebagai aktivator yang membantu tanaman tumbuh subur dan sehat secara alami.
Bagaimana Cara Kerja Zat Aktifnya?
Kandungan utama Biotogrow adalah bakteri-bakteri baik, seperti Bacillus sp. dan Azotobacter sp.
Cara kerjanya sederhana dan efektif:
1. Mengikat Nitrogen:
Bakteri Azotobacter sp. dapat mengambil nitrogen bebas dari udara (yang tidak bisa diserap tanaman) dan mengubahnya menjadi bentuk yang mudah diserap oleh akar tanaman.
Ini membuat tanaman mendapatkan nutrisi penting tanpa perlu pupuk kimia nitrogen berlebihan.
2. Melarutkan Nutrisi:
Bakteri Bacillus sp. berfungsi melarutkan fosfor dan kalium yang sering kali terikat di dalam tanah.
Bakteri ini membuat unsur-unsur hara tersebut menjadi lebih mudah diserap oleh tanaman.
3. Membuat Hormon Pertumbuhan:
Mikroorganisme di dalam Biotogrow juga menghasilkan zat alami atau hormon yang merangsang pertumbuhan akar, batang, dan buah.
Ini membuat tanaman lebih cepat besar dan produktif.
4. Melindungi Tanaman:
Beberapa bakteri baik ini mampu melawan bakteri atau jamur jahat yang dapat menyebabkan penyakit pada tanaman.
Manfaat Menggunakan Biotogrow
Dengan menggunakan Biotogrow, Anda akan mendapatkan beberapa keuntungan, antara lain:
- Hasil Panen Meningkat:
Tanaman menyerap nutrisi lebih maksimal sehingga hasil panennya menjadi lebih baik.
- Tanah Lebih Subur:
Produk ini memperbaiki struktur dan kesuburan tanah secara alami dalam jangka panjang.
- Mengurangi Penggunaan Pupuk Kimia:
Karena nutrisi sudah tersedia, Anda bisa mengurangi pemakaian pupuk kimia yang mahal dan kurang ramah lingkungan.
- Tanaman Lebih Tahan Penyakit:
Tanaman menjadi lebih kuat dan tahan terhadap serangan hama dan penyakit.
Singkatnya, Biotogrow ini seperti vitamin alami untuk tanaman Anda.
Dia bekerja langsung di tanah dan akar untuk memastikan tanaman tumbuh optimal dan sehat dari dalam.<br>Rating: ⭐ 0<br>Terjual: 1<br>Rp 46.500</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/2ddd0f8fb8d7408d9873ace738f7b846~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217174&x-signature=qnMoaZ%2FsxHZg5Nv0pY3M%2Fgtq3KQ%3D&x-signature-webp=hq5A0yHKpwUHaBTz1aU%2Fb8fes6Y%3D' alt='PUPUK ORGANIK CAIR TANAMAN DAUN INFARM - 500 ml' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/pupuk-organik-cair-tanaman-daun-infarm-500-ml-1732638740525582031?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>PUPUK ORGANIK CAIR TANAMAN DAUN INFARM - 500 ml</a><br>KEGUNAAN :
- nutrisi 100% organik untuk tanaman sayur / daun
- meningkatkan kesuburan dan produktivitas media tanam
- meningkatkan jumlah, bobot dan kualitas hasil panen
- memaksimalkan metabolisme dan akar tanaman
- mempercepat pemulihan kondisi tanaman setelah terkena hama
KANDUNGAN NUTRISI :
- unsur hara makro dan mikro
- asam amino
- enzim-enzim metabolit
- hormon Auxin, sitokinin, dan giberelin
CARA PENGGUNAAN :
- encerkan POC sayur 2 mL/L air ( 2 Pump )
- siram merata ke area perakaran secukupnya
- interval penyiraman 1 kali dalam seminggu<br>Rating: ⭐ 0<br>Terjual: 0<br>Rp 45.000</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/6db84c1afddc4e69ab99b27fe5141f94~tplv-aphluv4xwc-resize-jpeg:700:0.jpeg?lk3s=0ccea506&x-expires=1764217198&x-signature=f345slHTeKmz3HUcAdRlkHdDxJY%3D&x-signature-webp=V46c6CqyNjoCPNFDaAvIb22aXBU%3D' alt='Pupuk Kujang Nitrea Urea Prill 46% Repack - 25 Kg' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/pupuk-kujang-nitrea-urea-prill-46-repack-25-kg-1732553472685672143?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Pupuk Kujang Nitrea Urea Prill 46% Repack - 25 Kg</a><br>Apa itu Pupuk Urea Prill Nitrea?
Nitrea adalah salah satu merek dagang pupuk Urea berbentuk prill (butiran kecil).
Pupuk ini mengandung Nitrogen (N) 46% dalam bentuk amida (NH₂).
Bentuk prill artinya butiran lebih kecil dan halus dibandingkan granular mudah larut dalam air, cepat diserap tanaman.
Diproduksi melalui proses sintesis amonia (NH₃) dan karbon dioksida (CO₂).
Karakteristik Fisik
Warna: putih bersih.
Bentuk: butiran kecil halus (prill), diameter rata-rata ±1–2 mm.
Kelarutan: sangat mudah larut dalam air cocok untuk penyemprotan (foliar) maupun kocor.
Tidak berbau, tetapi bila terkena udara lembap bisa sedikit berbau amonia.
Kandungan Utama
Nitrogen (N total): 46%
Tidak mengandung unsur lain seperti P (fosfor) atau K (kalium).
Fungsi utama: menyediakan Nitrogen cepat tersedia untuk pertumbuhan vegetatif tanaman.
️ Fungsi & Manfaat
Meningkatkan pertumbuhan vegetatif mempercepat tumbuh daun, batang, dan akar muda.
Menambah kandungan klorofil daun daun lebih hijau fotosintesis lebih maksimal.
Meningkatkan produktivitas tanaman tumbuh lebih subur, hasil panen lebih tinggi.
Mudah diaplikasikan karena cepat larut dalam air dan bisa digunakan untuk:
Tabur langsung di tanah
Larutan semprot daun (foliar feeding)
Sistem irigasi (fertigasi/kocor)
Aplikasi pada Tanaman
Padi & Jagung:
Dosis umum 100–200 kg/ha, diberikan bertahap (awal tanam, umur 25–30 HST, menjelang berbunga).
Sayuran (cabe, tomat, bawang, dll.):
1–2 gram/tanaman tiap 1–2 minggu, atau 2–5 kg/1000 m².
Tanaman perkebunan (sawit, tebu, kakao, karet):
Disesuaikan umur tanaman, umumnya 200–500 gram/tanaman/tahun, dibagi 2–3 kali aplikasi.
Hidroponik/fertigasi:
Dilarutkan sesuai formula nutrisi larutan, karena sangat larut & cepat tersedia.
️ Catatan: Jangan berikan urea berlebihan bisa membuat tanaman terlalu rimbun, rebah, dan mengurangi hasil generatif (buah/biji).
️ KelebihanKelebihan:
Kandungan N sangat tinggi (46%).
Cepat larut cepat diserap tanaman.
Efektif untuk fase vegetatif.
Bisa untuk semua jenis tanaman.
Penyimpanan
Simpan di tempat kering & sejuk, jangan terkena hujan/kelembapan.
Gunakan segera setelah karung dibuka.
Tutup rapat bila tidak habis dipakai untuk mencegah pengerasan/gumpalan.
Jadi, Urea Prill Nitrea adalah pupuk sumber Nitrogen cepat tersedia yang sangat efektif untuk meningkatkan pertumbuhan vegetatif, terutama pada fase awal tanaman, dan sangat cocok dipakai untuk sistem tabur, kocor, maupun fertigasi.<br>Rating: ⭐ 5<br>Terjual: 1<br>Rp 262.000</div></div><div class='flex gap-2 items-center mb-2'><img src='https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/4dd4c8a163b4455ca26c99effe44d517~tplv-aphluv4xwc-white-pad-v1:1600:1600.jpeg?lk3s=0ccea506&x-expires=1764217263&x-signature=5jWPK7WA%2F6tVjKxucXBvhquew48%3D&x-signature-webp=oZ%2FyJmY7ARPT28U4DZuRgHCvsbA%3D' alt='Benih Biji Bibit Markisa Merah Red Passiflora Mix Garden Seed - 1 Pcs Tanaman Daun' class='w-12 h-12 object-cover rounded'><div><a href='https://www.tokopedia.com/netafarm/benih-biji-bibit-markisa-merah-red-passiflora-mix-garden-seed-1-pcs-tanaman-daun-1731576025760171727?extParam=src%3Dshop%26whid%3D2158709&aff_unique_id=&channel=others&chain_key=' target='_blank' 
                        class='text-blue-600 underline font-semibold'>Benih Biji Bibit Markisa Merah Red Passiflora Mix Garden Seed - 1 Pcs Tanaman Daun</a><br>MARKISA MERAH (RED PASSIFLORA)
Jenis: Tanaman merambat penghasil buah merah, manis-asam
Nama ilmiah: Passiflora edulis var. rubra
Iklim: Tropis/subtropis, cocok di dataran 200–1500 mdpl
Manfaat: Buah segar, jus, tinggi vitamin C
CARA MENANAM (SINGKAT)1. Lokasi & Media
Sinar matahari penuh
Tanah gembur, subur, pH 5.5–6.5
Gunakan rambatan (ajir/kawat)
2. Perbanyakan
Biji: Rendam 1 hari, semai, tanam saat 20–30 cm
Stek: Potong batang muda, tancapkan ke media lembap
3. Penanaman
Jarak tanam: 2–3 meter
Tanam saat musim hujan ringan atau awal kemarau
4. Perawatan
Siram cukup, jangan becek
Pupuk: Kompos + NPK bulanan
Pangkas tunas liar, bentuk cabang utama
5. Panen
Mulai berbuah: 8–12 bulan
Buah matang: merah pekat, mengkilap, bisa jatuh sendiri
Mudah ditanam, produktif, dan bernilai tinggi!<br>Rating: ⭐ 0<br>Terjual: 0<br>Rp 16.500</div></div>","2025-11-27","2025-11-27 01:28:50","2025-11-27 01:28:50"
"3","242","Harganya berapa ya?","Maaf, saya belum memahami maksud Anda.","2025-12-10","2025-12-16 16:04:14","2025-12-16 16:04:14"
"4","64","chat ini di auto ya?","Produk ini original dan bergaransi resmi.","2025-12-06","2025-12-16 16:04:14","2025-12-16 16:04:14"
"5","153","promo murah klik link","Silakan cek deskripsi produk untuk informasi lengkap.","2025-12-10","2025-12-16 16:04:14","2025-12-16 16:04:14"
"6","188","gransi brp?","Produk ready stock dan siap dikirim.","2025-12-05","2025-12-16 16:04:14","2025-12-16 16:04:14"
"7","121","Ready kah?","Estimasi pengiriman 2–4 hari kerja.","2025-12-09","2025-12-16 16:04:14","2025-12-16 16:04:14"
"8","29","diskon besar besaran!!!","Silakan jelaskan pertanyaan Anda lebih detail.","2025-12-14","2025-12-16 16:04:14","2025-12-16 16:04:14"
"9","94","Apakah bisa COD?","Terima kasih telah menghubungi kami.","2025-12-05","2025-12-16 16:04:14","2025-12-16 16:04:14"
"10","117","hehehehe","Silakan cek deskripsi produk untuk informasi lengkap.","2025-11-20","2025-12-16 16:04:14","2025-12-16 16:04:14"
